FID,CLNDID,CLNDNAME,Shape__Area,Shape__Length
1,1,Island1,27592.337890625,894.654622651462
2,2,Pelican Harbor,116653.4140625,3193.13534012779
3,3,Bird Key Island 1,7101.8828125,459.739696432111
4,4,Bird Key Island 2,969.970703125,124.899265381006
5,5,Bird Key Island 3,15483.328125,832.382186772122
6,6,Legion Park Picnic Island 1,38942.2734375,783.112033391641
7,7,Legion Park Picnic Island 2,2612.583984375,195.136716339767
8,8,Morningside Park Picnic Island 1,11160.05859375,497.230144696338
9,9,Morningside Park Picnic Island 2,19327.44140625,807.049316865364
10,10,Morningside Park Picnic Island 3,13648.498046875,729.756102348731
11,11,Pace Park Picnic Island,12220.001953125,699.468620651449
12,12,Virginia Key Island 1,4046765.02929688,22705.64450163
13,13,Virginia Key Island 2,11539.587890625,433.768626683355
14,14,Virginia Key Island 3,81313.013671875,1160.681670545
15,15,Virginia Key Island 4,2999.091796875,205.621645304157
16,17,Rickenbacker Island,150837.46875,2783.85646615729
17,16,Virginia Key Island 5,2164.78515625,226.838486862237
18,18,Mole Island 1,11890.703125,745.048053119252
19,19,Mole Island 2,4536.03125,728.206256247156
20,20,Mole Island 3,46957.439453125,1458.51427832078
21,21,Belle Meade Island,117223.03125,1881.23056781664
22,22,Bay Point Island,207447.16015625,1919.68867548532
23,23,Julia Tuttle Island 2,159031.716796875,3000.31406811953
24,24,Julia Tuttle Island 1,69772.294921875,1491.04192637554
25,25,San Marco Island,126992.337890625,1434.52170155475
26,26,Biscayne Island,175582.912109375,2145.1748190722
27,27,Watson Island,435797.8359375,2965.61423494393
28,28,Dodge Island,2599002.26953125,9745.32476551945
29,28,Claughton Island,222906.794921875,2025.15793840387
30,29,Fair Isle,102285.359375,1254.78485715542
31,30,Main,106862756.607422,135784.351007272
